                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     74,                 1.1361,                0.60669,                   0.88,                0.91087,                0.84981,                0.89866,                0.69632,                 1.2564,                 0.6602,                0.93008,             0.00016887,             0.00016887,             0.00016887
                     75,                 1.1479,                0.60491,                0.88228,                0.89806,                0.85286,                 0.8929,                0.69276,                 1.2568,                0.65085,                0.92882,             0.00016305,             0.00016305,             0.00016305
                     76,                 1.1507,                0.61267,                 0.8832,                0.92205,                0.84368,                0.89769,                 0.6958,                 1.2386,                0.66054,                0.92265,             0.00015723,             0.00015723,             0.00015723
                     77,                 1.1327,                0.59488,                0.88223,                0.93158,                0.83965,                0.89833,                0.69612,                 1.2414,                 0.6512,                0.92024,             0.00015141,             0.00015141,             0.00015141
                     78,                  1.108,                0.57984,                0.87603,                0.90945,                0.85035,                0.89951,                0.70332,                 1.2327,                0.64458,                0.91873,             0.00014559,             0.00014559,             0.00014559
                     79,                 1.1087,                0.57721,                0.87605,                0.90408,                0.85663,                0.90131,                0.69596,                 1.2389,                0.64392,                 0.9194,             0.00013977,             0.00013977,             0.00013977
                     80,                 1.1064,                0.57993,                0.87461,                0.91584,                0.85366,                0.90051,                0.69916,                 1.2281,                 0.6336,                0.91727,             0.00013395,             0.00013395,             0.00013395
                     81,                 1.1085,                0.58306,                0.87789,                0.89014,                0.86464,                0.90312,                0.69934,                 1.2296,                0.63802,                0.92043,             0.00012813,             0.00012813,             0.00012813
                     82,                  1.101,                0.57341,                0.87296,                 0.9072,                0.85757,                 0.9063,                0.71128,                 1.2173,                0.62773,                0.91711,              0.0001223,              0.0001223,              0.0001223
                     83,                 1.0866,                0.56657,                0.87094,                0.92528,                 0.8476,                0.90297,                0.70336,                 1.2283,                0.64582,                0.91953,             0.00011648,             0.00011648,             0.00011648
                     84,                 1.0953,                0.57157,                0.86968,                0.91149,                0.86108,                0.90643,                0.71012,                 1.2113,                 0.6262,                0.91341,             0.00011066,             0.00011066,             0.00011066
                     85,                 1.0788,                0.56264,                0.86793,                0.89877,                0.85978,                 0.9035,                0.70882,                  1.209,                0.63637,                0.91235,             0.00010484,             0.00010484,             0.00010484
                     86,                 1.0897,                0.57022,                0.86777,                0.93576,                0.84798,                0.90645,                0.71001,                 1.2103,                0.62835,                0.91493,             9.9019e-05,             9.9019e-05,             9.9019e-05
                     87,                 1.0797,                0.56616,                0.86905,                0.92536,                0.85077,                0.90345,                0.71322,                 1.2048,                0.62806,                0.91648,             9.3198e-05,             9.3198e-05,             9.3198e-05
                     88,                 1.0871,                0.56869,                0.86909,                0.93086,                0.84966,                 0.9057,                0.71214,                 1.2056,                0.62351,                0.91281,             8.7377e-05,             8.7377e-05,             8.7377e-05
                     89,                 1.0636,                0.54552,                0.86651,                0.93321,                 0.8546,                0.90837,                0.71456,                 1.2011,                0.61434,                 0.9132,             8.1556e-05,             8.1556e-05,             8.1556e-05
                     90,                 1.0573,                0.54661,                0.86326,                0.91615,                0.86165,                0.90643,                0.71295,                 1.1988,                0.61886,                0.91315,             7.5734e-05,             7.5734e-05,             7.5734e-05
                     91,                 1.0947,                0.55662,                0.86192,                0.90727,                0.86861,                0.90408,                0.71539,                  1.203,                 0.6229,                0.91386,             6.9913e-05,             6.9913e-05,             6.9913e-05
                     92,                 1.0912,                0.55117,                0.86105,                0.91793,                0.85537,                0.90533,                0.71294,                 1.1992,                0.62272,                0.91363,             6.4092e-05,             6.4092e-05,             6.4092e-05
                     93,                 1.0569,                0.53478,                0.85895,                0.90541,                0.86541,                0.90529,                0.71079,                 1.1873,                0.61599,                0.90854,             5.8271e-05,             5.8271e-05,             5.8271e-05
                     94,                 1.0666,                0.54147,                0.85873,                0.91588,                0.85175,                0.90475,                0.71567,                 1.1931,                0.62479,                0.91147,              5.245e-05,              5.245e-05,              5.245e-05
                     95,                 1.0652,                 0.5367,                0.85795,                0.91017,                0.86395,                0.90627,                0.71896,                  1.182,                0.61418,                0.90626,             4.6628e-05,             4.6628e-05,             4.6628e-05
                     96,                  1.054,                0.53109,                0.85208,                0.91988,                0.85738,                0.90745,                0.71929,                 1.1863,                0.61684,                0.90761,             4.0807e-05,             4.0807e-05,             4.0807e-05
                     97,                  1.059,                0.53662,                 0.8568,                0.92846,                0.85316,                0.90854,                0.71977,                 1.1847,                0.61776,                0.90587,             3.4986e-05,             3.4986e-05,             3.4986e-05
                     98,                 1.0608,                0.53161,                0.85472,                0.92785,                0.85788,                0.90506,                0.71691,                 1.1814,                0.61254,                0.90403,             2.9165e-05,             2.9165e-05,             2.9165e-05
                     99,                 1.0393,                0.52029,                0.85439,                0.92478,                0.86266,                0.90692,                0.71782,                 1.1831,                0.61353,                 0.9055,             2.3344e-05,             2.3344e-05,             2.3344e-05
                    100,                 1.0358,                0.52116,                0.85097,                0.93022,                0.85688,                0.90656,                0.72012,                  1.181,                0.61309,                0.90395,             1.7522e-05,             1.7522e-05,             1.7522e-05
