                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     90,                 1.0671,                0.54679,                0.85576,                0.93545,                0.87425,                0.91721,                0.72979,                  1.146,                0.54279,                0.88667,             0.00033187,             0.00033187,             0.00033187
                     91,                 1.0405,                0.53722,                0.85725,                0.92586,                0.88057,                0.91884,                0.72021,                 1.1643,                0.55387,                0.89021,             0.00032896,             0.00032896,             0.00032896
                     92,                 1.0176,                0.52826,                0.86002,                 0.9213,                0.88015,                0.91714,                0.72463,                 1.1536,                0.55035,                0.88807,             0.00032605,             0.00032605,             0.00032605
                     93,                 1.0248,                0.53294,                0.85752,                0.92721,                0.86952,                0.91702,                0.72485,                 1.1492,                0.55091,                 0.8864,             0.00032314,             0.00032314,             0.00032314
                     94,                 1.0441,                0.53863,                0.85793,                0.92169,                0.87572,                  0.914,                0.71929,                 1.1645,                0.55188,                 0.8924,             0.00032022,             0.00032022,             0.00032022
                     95,                 1.0252,                0.52985,                0.85668,                0.93277,                0.87182,                0.91641,                0.72849,                 1.1497,                0.54883,                0.88576,             0.00031731,             0.00031731,             0.00031731
                     96,                 1.0438,                0.53713,                0.85615,                0.93275,                0.87575,                0.92412,                0.72701,                 1.1418,                0.54243,                0.88433,              0.0003144,              0.0003144,              0.0003144
                     97,                 1.0327,                0.52948,                0.85596,                0.93232,                0.87669,                0.92101,                0.73312,                 1.1323,                0.53069,                0.88342,             0.00031149,             0.00031149,             0.00031149
                     98,                  1.034,                0.53062,                0.85487,                0.93302,                0.87086,                0.91682,                0.72455,                 1.1558,                0.54569,                0.88618,             0.00030858,             0.00030858,             0.00030858
                     99,                  1.052,                0.54105,                0.85781,                0.92479,                0.88372,                0.92245,                0.73052,                   1.14,                0.54287,                0.88599,             0.00030567,             0.00030567,             0.00030567
